[2024-10-16 22:32:33,387: INFO: main: logging is implemnted]
[2024-10-29 18:34:27,096: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-29 18:34:27,098: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-29 18:35:20,611: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-29 18:35:20,612: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-29 18:35:20,613: INFO: common: created directory at: artifacts]
[2024-10-29 18:35:20,614: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-29 18:35:23,336: INFO: 227420655: File is downloaded]
[2024-10-29 20:12:16,145: INFO: main: logging is implemnted]
[2024-10-29 20:12:51,385: INFO: main: logging is implemnted]
[2024-10-29 20:12:51,464: INFO: main: stage Data Ingestion stage initiated]
[2024-10-29 20:12:51,464: INFO: common: yaml file: config/config.yaml loaded successfully]
[2024-10-29 20:12:51,465: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-29 20:12:51,465: INFO: common: created directory at: artifacts]
[2024-10-29 20:12:51,465: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-29 20:12:54,203: INFO: data_ingestion: File is downloaded]
[2024-10-29 20:12:54,297: INFO: main: Stage Data Ingestion stage Completed]
